Designación                     d x peso,,Peralte,Alma,,Patin,,Área,Pandeo local,,X - X,,,,Propiedades torsión,
,,d    ,h,tw   , bf   , tf   ,,b / 2tf,h / tw,I,Z,S,r,J,Cw
mm,kg/m,mm,mm,mm,mm,mm,cm2,,,cm4,cm3,cm3,cm,cm4,cm6
533,81.9,529,477,9.6,209,13.3,104.6,7.9,50,47451,2065,1803,21.3,52,1337309
,,,,,,,,,,,,,,,
533,92.3,534,476,10.2,210,15.7,118.1,6.7,46.9,55356,2360,2082,21.7,76,1600474
533,101.3,536,474,11,211,17.4,129.1,6.1,43.6,61603,2622,2295,21.8,102,1815302
533,108.7,539,475,11.6,211,18.8,138.8,5.7,41.2,66598,2819,2475,21.9,126,1989851
533,123.6,544,474,13.1,213,21.3,156.8,5.1,36.4,76174,3212,2803,22,181,2317465
533,138.5,549,475,14.8,214,23.7,176.2,4.6,32.3,86160,3622,3147,22.1,251,2669247
,,,,,,,,,,,,,,,
533,150.4,544,476,12.7,313,20.4,192.3,7.7,37.5,100729,4146,3720,22.9,217,7035640
533,165.3,547,475,14,313,22.3,211,7.1,34.1,111134,4572,4081,23,284,7841247
533,181.6,552,476,15.3,315,24.4,231.7,6.5,31.3,123205,5031,4474,23.1,374,8781123
533,196.5,554,474,16.6,315,26.5,250.4,6,28.9,134027,5457,4835,23.2,470,9667291
533,218.9,562,478,18.3,318,29.3,278.8,5.5,26.1,151093,6113,5392,23.3,640,11036824
533,247.1,572,476,19.1,315,34.6,314.9,4.6,25,178148,7080,6228,23.8,982,13023990
533,271,577,475,21.1,318,37.6,345.9,4.3,22.6,196878,7801,6834,23.9,1278,14608351
533,299.2,585,475,23.2,321,41.5,382,3.9,20.6,221019,8686,7555,24.1,1702,16649224
,,,,,,,,,,,,,,,
610,81.9,600,548,10.1,179,12.9,104.6,7,54.6,56192,2196,1869,23.1,49,1039234
610,92.3,602,546,11,179,15,117.5,6,50.1,64516,2508,2147,23.4,71,1240636
